Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
VER,1.0,0 days 00:01:37.284000,SOFT,4.0,1.0,,,97.284
VER,2.0,0 days 00:01:36.296000,SOFT,5.0,1.0,,,96.296
VER,3.0,0 days 00:01:36.753000,SOFT,6.0,1.0,,,96.753
VER,4.0,0 days 00:01:36.647000,SOFT,7.0,1.0,,,96.647
VER,5.0,0 days 00:01:37.173000,SOFT,8.0,1.0,,,97.173
VER,6.0,0 days 00:01:37.092000,SOFT,9.0,1.0,,,97.092
VER,7.0,0 days 00:01:37.038000,SOFT,10.0,1.0,,,97.038
VER,8.0,0 days 00:01:37.024000,SOFT,11.0,1.0,,,97.024
VER,9.0,0 days 00:01:37.229000,SOFT,12.0,1.0,,,97.229
VER,10.0,0 days 00:01:36.960000,SOFT,13.0,1.0,,,96.96
VER,11.0,0 days 00:01:37.085000,SOFT,14.0,1.0,,,97.085
VER,12.0,0 days 00:01:37.045000,SOFT,15.0,1.0,,,97.045
VER,13.0,0 days 00:01:37.030000,SOFT,16.0,1.0,,,97.03
VER,14.0,0 days 00:01:37.028000,SOFT,17.0,1.0,,,97.028
VER,15.0,0 days 00:01:37.011000,SOFT,18.0,1.0,,,97.011
VER,16.0,0 days 00:01:37.168000,SOFT,19.0,1.0,,,97.168
VER,19.0,0 days 00:01:35.283000,HARD,2.0,2.0,,,95.283
VER,20.0,0 days 00:01:35.160000,HARD,3.0,2.0,,,95.16
VER,21.0,0 days 00:01:35.316000,HARD,4.0,2.0,,,95.316
VER,22.0,0 days 00:01:35.204000,HARD,5.0,2.0,,,95.204
VER,23.0,0 days 00:01:35.216000,HARD,6.0,2.0,,,95.216
VER,24.0,0 days 00:01:35.289000,HARD,7.0,2.0,,,95.289
VER,25.0,0 days 00:01:35.342000,HARD,8.0,2.0,,,95.342
VER,26.0,0 days 00:01:35.223000,HARD,9.0,2.0,,,95.223
VER,27.0,0 days 00:01:35.581000,HARD,10.0,2.0,,,95.581
VER,28.0,0 days 00:01:35.477000,HARD,11.0,2.0,,,95.477
VER,29.0,0 days 00:01:35.793000,HARD,12.0,2.0,,,95.793
VER,30.0,0 days 00:01:35.771000,HARD,13.0,2.0,,,95.771
