Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
VER,1.0,0 days 00:01:59.392000,INTERMEDIATE,1.0,1.0,,,119.392
VER,6.0,0 days 00:02:19.654000,INTERMEDIATE,6.0,4.0,,,139.654
VER,7.0,0 days 00:02:16.447000,INTERMEDIATE,7.0,4.0,,,136.447
VER,8.0,0 days 00:01:36.830000,INTERMEDIATE,8.0,4.0,,,96.83
VER,9.0,0 days 00:01:34.315000,INTERMEDIATE,9.0,4.0,,,94.315
VER,10.0,0 days 00:01:32.650000,INTERMEDIATE,10.0,4.0,,,92.65
VER,11.0,0 days 00:01:32.453000,INTERMEDIATE,11.0,4.0,,,92.453
VER,12.0,0 days 00:01:31.591000,INTERMEDIATE,12.0,4.0,,,91.591
VER,13.0,0 days 00:01:31.271000,INTERMEDIATE,13.0,4.0,,,91.271
VER,14.0,0 days 00:01:30.639000,INTERMEDIATE,14.0,4.0,,,90.639
VER,15.0,0 days 00:01:30.328000,INTERMEDIATE,15.0,4.0,,,90.328
VER,16.0,0 days 00:01:30.592000,INTERMEDIATE,16.0,4.0,,,90.592
VER,17.0,0 days 00:01:33.392000,INTERMEDIATE,17.0,4.0,,,93.392
VER,18.0,0 days 00:01:32.169000,INTERMEDIATE,18.0,4.0,,,92.169
VER,19.0,0 days 00:01:31.939000,INTERMEDIATE,19.0,4.0,,,91.939
VER,20.0,0 days 00:01:31.598000,INTERMEDIATE,20.0,4.0,,,91.598
VER,21.0,0 days 00:01:31.177000,INTERMEDIATE,21.0,4.0,,,91.177
VER,22.0,0 days 00:01:31.040000,INTERMEDIATE,22.0,4.0,,,91.04
VER,23.0,0 days 00:01:30.686000,INTERMEDIATE,23.0,4.0,,,90.686
VER,24.0,0 days 00:01:30.978000,INTERMEDIATE,24.0,4.0,,,90.978
VER,25.0,0 days 00:01:30.845000,INTERMEDIATE,25.0,4.0,,,90.845
VER,26.0,0 days 00:01:30.293000,INTERMEDIATE,26.0,4.0,,,90.293
