Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
VER,1.0,0 days 00:01:27.020000,HARD,1.0,1.0,,,87.02
VER,2.0,0 days 00:01:46.318000,HARD,2.0,1.0,,,106.318
VER,3.0,0 days 00:01:48.815000,HARD,3.0,1.0,,,108.815
VER,4.0,0 days 00:01:40.290000,HARD,4.0,1.0,,,100.29
VER,5.0,0 days 00:01:20.800000,HARD,5.0,1.0,,,80.8
VER,6.0,0 days 00:01:20.011000,HARD,6.0,1.0,,,80.011
VER,7.0,0 days 00:01:18.968000,HARD,7.0,1.0,,,78.968
VER,8.0,0 days 00:01:17.714000,HARD,8.0,1.0,,,77.714
VER,9.0,0 days 00:01:21.205000,HARD,9.0,1.0,,,81.205
VER,10.0,0 days 00:01:19.169000,HARD,10.0,1.0,,,79.169
VER,11.0,0 days 00:01:17.481000,HARD,11.0,1.0,,,77.481
VER,12.0,0 days 00:01:18.128000,HARD,12.0,1.0,,,78.128
VER,13.0,0 days 00:01:17.122000,HARD,13.0,1.0,,,77.122
VER,14.0,0 days 00:01:16.810000,HARD,14.0,1.0,,,76.81
VER,15.0,0 days 00:01:16.380000,HARD,15.0,1.0,,,76.38
VER,16.0,0 days 00:01:15.392000,HARD,16.0,1.0,,,75.392
VER,17.0,0 days 00:01:15.131000,HARD,17.0,1.0,,,75.131
VER,18.0,0 days 00:01:15.035000,HARD,18.0,1.0,,,75.035
VER,19.0,0 days 00:01:15.413000,HARD,19.0,1.0,,,75.413
VER,20.0,0 days 00:01:15.233000,HARD,20.0,1.0,,,75.233
VER,21.0,0 days 00:01:15.248000,HARD,21.0,1.0,,,75.248
VER,22.0,0 days 00:01:15.291000,HARD,22.0,1.0,,,75.291
VER,23.0,0 days 00:01:15.254000,HARD,23.0,1.0,,,75.254
VER,24.0,0 days 00:01:15.181000,HARD,24.0,1.0,,,75.181
VER,25.0,0 days 00:01:15.175000,HARD,25.0,1.0,,,75.175
VER,26.0,0 days 00:01:16.288000,HARD,26.0,1.0,,,76.288
VER,27.0,0 days 00:01:16.323000,HARD,27.0,1.0,,,76.323
VER,30.0,0 days 00:01:15.074000,MEDIUM,2.0,2.0,,,75.074
VER,31.0,0 days 00:01:15.133000,MEDIUM,3.0,2.0,,,75.133
VER,32.0,0 days 00:01:15.424000,MEDIUM,4.0,2.0,,,75.424
VER,33.0,0 days 00:01:16.213000,MEDIUM,5.0,2.0,,,76.213
VER,34.0,0 days 00:01:15.800000,MEDIUM,6.0,2.0,,,75.8
VER,35.0,0 days 00:01:15.330000,MEDIUM,7.0,2.0,,,75.33
VER,36.0,0 days 00:01:14.976000,MEDIUM,8.0,2.0,,,74.976
VER,37.0,0 days 00:01:15.025000,MEDIUM,9.0,2.0,,,75.025
VER,38.0,0 days 00:01:14.677000,MEDIUM,10.0,2.0,,,74.677
VER,39.0,0 days 00:01:14.785000,MEDIUM,11.0,2.0,,,74.785
VER,40.0,0 days 00:01:14.421000,MEDIUM,12.0,2.0,,,74.421
VER,41.0,0 days 00:01:14.390000,MEDIUM,13.0,2.0,,,74.39
VER,42.0,0 days 00:01:14.456000,MEDIUM,14.0,2.0,,,74.456
VER,43.0,0 days 00:01:14.567000,MEDIUM,15.0,2.0,,,74.567
VER,44.0,0 days 00:01:14.380000,MEDIUM,16.0,2.0,,,74.38
VER,45.0,0 days 00:01:14.230000,MEDIUM,17.0,2.0,,,74.23
VER,46.0,0 days 00:01:14.897000,MEDIUM,18.0,2.0,,,74.897
VER,47.0,0 days 00:01:14.859000,MEDIUM,19.0,2.0,,,74.859
VER,48.0,0 days 00:01:14.538000,MEDIUM,20.0,2.0,,,74.538
VER,49.0,0 days 00:01:14.261000,MEDIUM,21.0,2.0,,,74.261
VER,50.0,0 days 00:01:14.426000,MEDIUM,22.0,2.0,,,74.426
VER,51.0,0 days 00:01:15.165000,MEDIUM,23.0,2.0,,,75.165
VER,52.0,0 days 00:01:16.328000,MEDIUM,24.0,2.0,,,76.328
VER,53.0,0 days 00:01:17.547000,MEDIUM,25.0,2.0,,,77.547
VER,54.0,0 days 00:01:15.872000,MEDIUM,26.0,2.0,,,75.872
VER,55.0,0 days 00:01:15.620000,MEDIUM,27.0,2.0,,,75.62
VER,56.0,0 days 00:01:15.330000,MEDIUM,28.0,2.0,,,75.33
VER,57.0,0 days 00:01:15.418000,MEDIUM,29.0,2.0,,,75.418
VER,58.0,0 days 00:01:15.247000,MEDIUM,30.0,2.0,,,75.247
VER,59.0,0 days 00:01:15.350000,MEDIUM,31.0,2.0,,,75.35
VER,60.0,0 days 00:01:15.088000,MEDIUM,32.0,2.0,,,75.088
VER,61.0,0 days 00:01:15.064000,MEDIUM,33.0,2.0,,,75.064
VER,62.0,0 days 00:01:15.130000,MEDIUM,34.0,2.0,,,75.13
