Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
VER,1.0,0 days 00:01:27.159000,MEDIUM,1.0,1.0,,,87.159
VER,2.0,0 days 00:01:24.859000,MEDIUM,2.0,1.0,,,84.859
VER,3.0,0 days 00:01:23.512000,MEDIUM,3.0,1.0,,,83.512
VER,4.0,0 days 00:01:23.262000,MEDIUM,4.0,1.0,,,83.262
VER,5.0,0 days 00:01:23.588000,MEDIUM,5.0,1.0,,,83.588
VER,6.0,0 days 00:01:23.576000,MEDIUM,6.0,1.0,,,83.576
VER,7.0,0 days 00:01:23.310000,MEDIUM,7.0,1.0,,,83.31
VER,8.0,0 days 00:01:23.139000,MEDIUM,8.0,1.0,,,83.139
VER,9.0,0 days 00:01:23.101000,MEDIUM,9.0,1.0,,,83.101
VER,10.0,0 days 00:01:23.088000,MEDIUM,10.0,1.0,,,83.088
VER,11.0,0 days 00:01:23.066000,MEDIUM,11.0,1.0,,,83.066
VER,12.0,0 days 00:01:23.014000,MEDIUM,12.0,1.0,,,83.014
VER,13.0,0 days 00:01:23.254000,MEDIUM,13.0,1.0,,,83.254
VER,14.0,0 days 00:01:23.118000,MEDIUM,14.0,1.0,,,83.118
VER,15.0,0 days 00:01:23.077000,MEDIUM,15.0,1.0,,,83.077
VER,16.0,0 days 00:01:23.001000,MEDIUM,16.0,1.0,,,83.001
VER,17.0,0 days 00:01:22.890000,MEDIUM,17.0,1.0,,,82.89
VER,18.0,0 days 00:01:22.727000,MEDIUM,18.0,1.0,,,82.727
VER,19.0,0 days 00:01:22.838000,MEDIUM,19.0,1.0,,,82.838
VER,20.0,0 days 00:01:22.857000,MEDIUM,20.0,1.0,,,82.857
VER,21.0,0 days 00:01:22.919000,MEDIUM,21.0,1.0,,,82.919
VER,22.0,0 days 00:01:22.733000,MEDIUM,22.0,1.0,,,82.733
VER,23.0,0 days 00:01:22.782000,MEDIUM,23.0,1.0,,,82.782
VER,24.0,0 days 00:01:22.817000,MEDIUM,24.0,1.0,,,82.817
VER,25.0,0 days 00:01:22.970000,MEDIUM,25.0,1.0,,,82.97
VER,26.0,0 days 00:01:22.937000,MEDIUM,26.0,1.0,,,82.937
VER,27.0,0 days 00:01:23.015000,MEDIUM,27.0,1.0,,,83.015
VER,28.0,0 days 00:01:23.031000,MEDIUM,28.0,1.0,,,83.031
VER,29.0,0 days 00:01:22.811000,MEDIUM,29.0,1.0,,,82.811
VER,30.0,0 days 00:01:22.928000,MEDIUM,30.0,1.0,,,82.928
VER,31.0,0 days 00:01:22.941000,MEDIUM,31.0,1.0,,,82.941
VER,32.0,0 days 00:01:22.890000,MEDIUM,32.0,1.0,,,82.89
VER,33.0,0 days 00:01:22.943000,MEDIUM,33.0,1.0,,,82.943
VER,34.0,0 days 00:01:22.795000,MEDIUM,34.0,1.0,,,82.795
VER,35.0,0 days 00:01:22.651000,MEDIUM,35.0,1.0,,,82.651
VER,36.0,0 days 00:01:22.699000,MEDIUM,36.0,1.0,,,82.699
VER,39.0,0 days 00:01:21.402000,HARD,2.0,2.0,,,81.402
VER,40.0,0 days 00:01:21.625000,HARD,3.0,2.0,,,81.625
