Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
VER,1.0,0 days 00:01:45.820000,INTERMEDIATE,1.0,1.0,,,105.82
VER,2.0,0 days 00:02:15.598000,INTERMEDIATE,2.0,1.0,,,135.598
VER,3.0,0 days 00:02:17.357000,INTERMEDIATE,3.0,1.0,,,137.357
VER,4.0,0 days 00:01:45.568000,INTERMEDIATE,4.0,1.0,,,105.568
VER,5.0,0 days 00:01:44.809000,INTERMEDIATE,5.0,1.0,,,104.809
VER,6.0,0 days 00:02:19.789000,INTERMEDIATE,6.0,1.0,,,139.789
VER,7.0,0 days 00:02:02.547000,INTERMEDIATE,7.0,1.0,,,122.547
VER,8.0,0 days 00:01:45.834000,INTERMEDIATE,8.0,1.0,,,105.834
VER,9.0,0 days 00:01:46.326000,INTERMEDIATE,9.0,1.0,,,106.326
VER,10.0,0 days 00:01:46.432000,INTERMEDIATE,10.0,1.0,,,106.432
VER,13.0,0 days 00:01:51.224000,INTERMEDIATE,2.0,2.0,,,111.224
VER,14.0,0 days 00:02:16.820000,INTERMEDIATE,3.0,2.0,,,136.82
VER,18.0,0 days 00:01:58.665000,INTERMEDIATE,7.0,2.0,,,118.665
VER,22.0,0 days 00:01:51.018000,INTERMEDIATE,11.0,2.0,,,111.018
VER,23.0,0 days 00:01:45.863000,INTERMEDIATE,12.0,2.0,,,105.863
VER,24.0,0 days 00:01:45.017000,INTERMEDIATE,13.0,2.0,,,105.017
VER,25.0,0 days 00:01:44.139000,INTERMEDIATE,14.0,2.0,,,104.139
VER,26.0,0 days 00:01:44.304000,INTERMEDIATE,15.0,2.0,,,104.304
VER,27.0,0 days 00:01:43.903000,INTERMEDIATE,16.0,2.0,,,103.903
VER,28.0,0 days 00:01:44.243000,INTERMEDIATE,17.0,2.0,,,104.243
VER,29.0,0 days 00:01:44.716000,INTERMEDIATE,18.0,2.0,,,104.716
VER,30.0,0 days 00:01:44.721000,INTERMEDIATE,19.0,2.0,,,104.721
VER,31.0,0 days 00:01:44.559000,INTERMEDIATE,20.0,2.0,,,104.559
VER,32.0,0 days 00:01:44.511000,INTERMEDIATE,21.0,2.0,,,104.511
VER,33.0,0 days 00:01:44.306000,INTERMEDIATE,22.0,2.0,,,104.306
VER,34.0,0 days 00:01:43.923000,INTERMEDIATE,23.0,2.0,,,103.923
VER,35.0,0 days 00:01:42.617000,INTERMEDIATE,24.0,2.0,,,102.617
VER,36.0,0 days 00:01:41.924000,INTERMEDIATE,25.0,2.0,,,101.924
VER,37.0,0 days 00:01:41.583000,INTERMEDIATE,26.0,2.0,,,101.583
VER,38.0,0 days 00:01:41.190000,INTERMEDIATE,27.0,2.0,,,101.19
VER,39.0,0 days 00:01:40.758000,INTERMEDIATE,28.0,2.0,,,100.758
